date,portfolio_value,capital,holdings,price,daily_return,buy_hold_value
2025-04-19 00:00:00,10000.0,10000.0,0.0,84433.75017215389,,10000.0
2025-04-20 00:00:00,10000.0,10000.0,0.0,85126.66244301842,0.0,10082.065793530637
2025-04-21 00:00:00,10000.0,10000.0,0.0,85073.16544858096,0.0,10075.729820732036
2025-04-22 00:00:00,10000.0,10000.0,0.0,87452.04699068287,0.0,10357.47515802329
2025-04-23 00:00:00,10000.0,10000.0,0.0,93576.16588573981,0.0,11082.79162005066
2025-04-24 00:00:00,10000.0,10000.0,0.0,93605.45230873208,0.0,11086.260188358068
2025-04-25 00:00:00,10000.0,10000.0,0.0,93872.81422867288,0.0,11117.925478528843
2025-04-26 00:00:00,9990.0,0.0,0.10540964402774546,94773.11200643536,-0.0010000000000000009,11224.553192674766
2025-04-27 00:00:00,9976.397345526619,0.0,0.10540964402774546,94644.06637120107,-0.0013616270744125636,11209.269537149437
2025-04-28 00:00:00,9888.408906051223,0.0,0.10540964402774546,93809.33781968223,-0.008819660687918507,11110.407583272357
2025-04-29 00:00:00,10017.142398135382,0.0,0.10540964402774546,95030.60645474444,0.01301862547425392,11255.049818465293
2025-04-30 00:00:00,9935.529298365085,0.0,0.10540964402774546,94256.35946318062,-0.008147343476467728,11163.3510617495
2025-05-01 00:00:00,9933.357211144308,0.0,0.10540964402774546,94235.75331048167,-0.00021861816875068385,11160.91055038326
2025-05-02 00:00:00,10164.329970610908,0.0,0.10540964402774546,96426.94522273027,0.023252235327595905,11420.42666897102
2025-05-03 00:00:00,10209.51095915156,0.0,0.10540964402774546,96855.5681343944,0.004445053306148861,11471.191074293562
2025-05-04 00:00:00,10111.195414698766,0.0,0.10540964402774546,95922.86842404422,-0.009629799590416765,11360.725803184734
2025-05-05 00:00:00,9942.935487694924,0.0,0.10540964402774546,94326.62048529249,-0.016640952934134923,11171.672499796327
2025-05-06 00:00:00,9988.493875817447,0.0,0.10540964402774546,94758.8237105546,0.004581985690131907,11222.860943325233
2025-05-07 00:00:00,10209.4017393457,0.0,0.10540964402774546,96854.53198815876,0.02211623356581116,11471.068357224434
